n_electric,n_mechanical,timestamp
5,5,1631160764
9,12,1631752364
1,6,1630666364
1,0,1631205764
9,12,1631232764
2,15,1632810764
1,0,1630413164
0,0,1631526164
3,10,1630446764
2,2,1630258364
0,5,1632243164
6,4,1630861364
1,10,1631466764
1,11,1632591764
2,9,1630569764
1,7,1631082164
4,8,1630242165
4,10,1630446164
1,7,1632758564
1,2,1630276364
5,16,1632274964
3,8,1632532964
4,18,1632023564
0,0,1631085164
9,12,1631230364
1,3,1630780364
1,9,1630573964
3,5,1631140964
1,8,1631808764
0,0,1632736964
1,1,1632424964
3,9,1631503964
3,4,1632101564
9,12,1632186164
10,3,1631905364
2,3,1632643964
1,2,1630774964
0,3,1631093564
9,12,1631768564
3,9,1632546764
1,0,1632741164
1,11,1632589364
1,5,1630947764
0,6,1632756764
6,12,1630618364
2,3,1632085964
0,0,1631524364
6,8,1631074964
14,7,1631929364
13,8,1632369764
7,12,1631327564
2,4,1630674764
1,4,1630594964
0,6,1632207764
10,12,1631236964
0,4,1631611364
9,12,1632178364
1,1,1630262564
1,0,1632386564
2,14,1631270564
2,5,1632241964
1,6,1630149164
3,3,1632087164
4,10,1632537764
1,7,1632570164
4,1,1632630164
12,8,1631911964
9,12,1632188564
1,4,1632324764
1,4,1631049764
1,3,1630775564
5,10,1630475564
7,8,1630893764
1,5,1630579364
6,15,1631574165
3,7,1631688164
6,9,1630477964
0,4,1632400364
2,13,1631829764
1,8,1631298164
0,1,1630207964
5,8,1632258164
8,12,1631730764
13,8,1631913164
1,5,1632237764
7,8,1630900964
3,1,1632621764
0,2,1630165364
5,7,1630817564
3,2,1631645564
0,4,1631094764
9,11,1631259764
1,12,1631280164
2,7,1631478164
1,4,1630673564
1,6,1632157364
2,8,1632550964
10,7,1632375164
3,3,1630231364
2,11,1631985164
2,3,1632498764
0,3,1632067964
2,3,1632497564
1,9,1630566764
0,0,1630224164
3,15,1631773964
1,6,1631107364
4,8,1632720164
1,1,1630935764
9,11,1631258564
1,10,1631025764
5,13,1631834564
0,2,1630191764
5,15,1631591563
4,7,1630130564
2,4,1630390364
3,7,1630504964
2,0,1631125364
5,13,1631843564
0,12,1631992364
6,13,1631844764
1,1,1630263164
2,0,1630400564
0,3,1631205164
1,10,1632585164
10,8,1631680964
0,13,1631779964
1,6,1631011964
0,1,1631179364
13,8,1632359564
2,3,1631038364
0,0,1632134564
1,6,1631034164
1,7,1631041364
8,6,1632434564
3,13,1630522364
5,16,1632794564
0,3,1632601364
4,4,1631718764
4,3,1631684564
8,5,1631409764
3,2,1632662564
0,0,1630331564
3,4,1631038964
3,0,1630395764
6,3,1631649164
4,4,1630381364
1,2,1632150764
5,16,1632277364
6,4,1631650964
3,1,1630345964
0,0,1632130364
2,8,1632517364
5,16,1630544564
5,16,1630547564
2,7,1631483564
1,1,1630349564
3,11,1631982164
4,2,1631712164
2,9,1632055964
14,8,1631919764
6,12,1630633364
2,2,1630285964
5,8,1632702164
2,7,1632516764
8,12,1631734964
7,7,1631061164
6,12,1630630364
8,5,1630866164
8,12,1631736764
6,10,1631968964
1,4,1632609164
9,12,1631233364
5,8,1632706964
11,8,1631679764
2,2,1632142964
3,1,1632636764
4,5,1631144564
3,4,1632112364
7,4,1631216564
4,10,1630453964
0,6,1630833764
9,12,1631764964
1,10,1630494764
9,12,1631758364
5,8,1632696764
0,5,1632304364
2,5,1630739564
3,7,1630795364
6,13,1631845364
0,8,1632594164
10,8,1631676764
1,4,1632082964
4,8,1632717164
6,11,1630608164
1,11,1630961564
5,1,1631439764
14,8,1631931764
3,3,1632089564
13,8,1632365564
3,5,1632721964
3,12,1631599364
1,4,1630672364
6,13,1630983164
5,8,1632703364
1,8,1631462564
1,3,1632066164
0,1,1631181164
0,2,1630195364
0,1,1630213964
1,8,1631806964
7,12,1630642364
10,1,1630685564
1,9,1631511164
0,9,1632594764
6,7,1631724764
8,4,1631215364
1,3,1632066764
4,4,1630379564
5,10,1630452764
0,5,1632303764
1,6,1631109164
1,15,1632003764
2,10,1631296364
5,8,1632531164
5,7,1631686964
1,4,1631135564
8,3,1630704764
3,4,1630597364
0,2,1631128364
2,6,1632509564
1,6,1630722164
2,3,1632334964
6,12,1631740364
5,12,1630482164
0,12,1632817964
3,3,1632090164
2,12,1632588764
1,0,1632226364
3,4,1632108764
0,1,1631617364
4,18,1632034964
2,9,1631352164
1,2,1632388364
0,4,1631305364
2,6,1631022164
2,1,1630774364
5,15,1631589164
8,6,1631656364
5,7,1632343364
8,12,1631338964
14,8,1631938964
1,9,1632827564
0,9,1632829964
3,8,1632531764
3,7,1630501964
1,6,1630728164
2,12,1632051164
2,0,1632249764
2,14,1631997764
1,4,1632297164
7,11,1630645964
0,3,1631182964
5,1,1632426163
1,1,1630309964
10,4,1631222564
5,15,1631581364
1,8,1630958564
6,6,1631632964
5,16,1632781964
2,3,1632506564
3,2,1630359164
0,8,1630959764
4,3,1630752764
2,9,1632313964
4,2,1631691764
5,8,1630478564
7,7,1630876964
1,17,1632045764
0,15,1632001364
1,1,1631114564
5,16,1630552964
3,9,1631291564
0,2,1630198964
0,0,1632735164
0,1,1630215164
3,9,1631293964
2,7,1631547764
1,0,1630226564
4,10,1630454564
5,6,1630437764
1,1,1632390763
5,2,1630424564
10,12,1631244764
5,14,1632265364
1,2,1631194364
3,8,1631352764
5,3,1631402564
7,12,1631326964
4,5,1630370564
0,3,1632604364
0,6,1632062564
1,14,1632576164
9,12,1631744564
9,10,1631325764
3,6,1632311564
4,10,1632539564
3,10,1630655564
5,16,1630559564
9,5,1631411564
0,7,1632570764
2,13,1631274164
8,0,1630684964
1,4,1631190164
2,4,1632233564
2,5,1630593764
2,9,1631606564
6,15,1631573564
0,0,1632409964
6,14,1632771164
10,10,1632439364
4,2,1632502364
1,7,1632515564
10,8,1631673164
9,12,1631761964
2,5,1632754364
0,11,1632837164
5,8,1630825364
3,0,1631623964
4,4,1630376564
9,12,1632183764
0,0,1632127364
9,4,1631893364
2,2,1630927964
10,9,1631227964
1,0,1630300964
5,8,1632699164
0,8,1632558164
2,5,1630155764
7,4,1631892764
3,14,1631596964
9,9,1631316164
3,3,1631115227
9,10,1631322764
7,9,1631726564
0,2,1630206164
2,4,1631204564
1,0,1630338764
0,1,1631178164
5,8,1632694364
3,4,1631458964
8,4,1631218364
8,11,1630853564
7,1,1630702364
4,1,1632630764
4,6,1632326564
0,2,1630203164
1,1,1632640964
3,18,1632019364
1,6,1631545964
1,9,1631004164
14,8,1631917364
3,5,1631139764
0,11,1632819164
1,3,1631520164
10,12,1631249564
0,3,1631092964
2,6,1630719164
0,0,1630306364
4,8,1630134164
6,12,1630632164
8,5,1631445764
2,17,1630561364
5,6,1631056964
4,17,1630560164
1,5,1631550764
5,15,1631589764
2,11,1630996364
1,5,1631867564
1,0,1632394964
1,6,1630947164
3,13,1630516964
7,3,1631362964
6,5,1632432164
3,2,1630422764
1,1,1630227164
2,7,1631041964
5,16,1632271364
0,0,1632125564
2,9,1631001764
8,4,1630863164
6,12,1630633964
9,12,1632192164
4,5,1631145164
1,11,1632053564
2,10,1631290364
13,8,1632363164
1,1,1631176964
4,6,1630255364
2,5,1630669364
1,3,1630585964
5,2,1630761164
5,10,1630451564
1,13,1631774564
10,11,1632457964
0,0,1630919564
1,4,1632117164
